,stid,lat,lon,elev,NAME,STATE,id,DCP Info,Field Maint,Maint Cont
0,NWRU1,40.6125,-111.09833,2523.744,NORWAY,UT,1496,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
1,QBAA3,36.20472,-112.06222,2479.2432000000003,BRIGHT ANGEL,AZ,1658,Forest Technology System - F6 (F6),National Park Service,Depot BLM
2,QDPA3,36.45308,-112.23819,2651.76,DRY PARK,AZ,1664,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
3,CNFC1,37.75947,-119.82056,2022.0432,CRANE,CA,1760,Forest Technology System - F6 (F6),Bureau of Land Management - Carson City,Modified BLM
4,CRVC1,37.73745,-118.99658,2307.3360000000002,CRESTVIEW,CA,1778,Forest Technology System - F6 (F6),Bureau of Land Management - Carson City,Full BLM
5,FCHC1,36.8837,-119.47572,279.1968,FANCHER CREEK,CA,1794,Forest Technology System - F6 (F6),State and Private Forestry,FTS AOM
6,FTNC1,35.89116,-118.91559,242.0112,FOUNTAIN SPRINGS,CA,1799,Forest Technology System - F6 (F6),State and Private Forestry,FTS AOM
7,KRNC1,35.7772,-118.43374,927.8112000000001,RIVERKERN,CA,1829,Forest Technology System - F6 (F6),Bureau of Land Management - Carson City,Full BLM
8,MPOC1,37.50403,-119.98679,680.0088000000001,MARIPOSA,CA,1856,Forest Technology System - F6 (F6),State and Private Forestry,FTS AOM
9,MKEC1,38.69044,-119.77497,1676.7048,MARKLEEVILLE,CA,1857,Forest Technology System - F6 (F6),Bureau of Land Management - Carson City,Modified BLM
10,PRGC1,36.72417,-118.9425,2298.192,PARK RIDGE,CA,1886,Forest Technology System - F6 (F6),National Park Service,Depot BLM
11,SHQC1,36.56707,-118.95788,1322.832,SHADEQUARTER,CA,1920,Forest Technology System - F6 (F6),State and Private Forestry,FTS AOM
12,WVTC1,36.445,-118.70333,1597.152,WOLVERTON,CA,1953,Forest Technology System - F6 (F6),National Park Service,Depot BLM
13,WWRC1,37.85942,-119.65167,2449.9824000000003,WWOLF,CA,1954,Forest Technology System - F6 (F6),Bureau of Land Management - Carson City,Modified BLM
14,DMNI1,42.86681,-111.21886,2310.9936000000002,DIAMOND FLAT,ID,2027,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
15,FLEI1,43.61972,-114.90035,1975.7136,FLECK SUMMIT,ID,2034,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
16,FLFI1,42.0688,-112.19058,1584.96,FLINT CREEK,ID,2035,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
17,HPFI1,43.95215,-114.75735,2682.2400000000002,HORTON PEAK,ID,2040,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
18,LPFI1,45.37837,-115.1882,1772.1072000000001,LODGEPOLE,ID,2049,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Depot BLM
19,MOFI1,42.04306,-113.15361,2002.8408000000002,MOBURG CANYON,ID,2051,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
20,MYFI1,43.65058,-111.53183,2084.2224,MOODY,ID,2052,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
21,PLFI1,45.63747,-116.46894,413.6136,PITTSBURG LANDING,ID,2058,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
22,SFFI1,44.9429,-116.1882,1614.5256000000002,SKI HILL,ID,2072,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
23,SRFI1,45.09972,-116.73782,1333.8048000000001,SNAKE RIVER,ID,2075,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Depot BLM
24,MCLI1,44.90433,-115.73858,1577.3400000000001,TEA POT,ID,2076,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Depot BLM
25,TGFI1,42.30483,-114.31764,1737.3600000000001,TRAIL GULCH,ID,2078,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
26,WEFI1,44.84733,-116.42767,1159.4592,WEISER RIVER,ID,2081,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
