,stid,lat,lon,elev,NAME,STATE,id,DCP Info,Field Maint,Maint Cont
0,PLFI1,45.63747,-116.46894,413.6136,PITTSBURG LANDING,ID,2058,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
1,SADI1,48.93855,-116.73451,1560.576,SADDLE PASS,ID,2069,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
2,SRFI1,45.09972,-116.73782,1333.8048000000001,SNAKE RIVER,ID,2075,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Depot BLM
3,WEFI1,44.84733,-116.42767,1159.4592,WEISER RIVER,ID,2081,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
4,AGFO3,42.55222,-124.05778,75.2856,AGNESS2,OR,2207,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
5,ALFO3,43.92139,-119.59639,1621.536,ALLISON,OR,2208,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
6,ATFO3,44.03972,-118.41639,1969.008,ANTELOPE,OR,2209,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
7,BGFO3,44.03386,-120.40722,1740.4080000000001,BADGER CREEK,OR,2210,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
8,BKFO3,42.69361,-124.03944,1106.424,BALD KNOB,OR,2211,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
9,OKFO3,43.52831,-121.81601,1490.7768,BLACK ROCK,OR,2214,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
10,BCFO3,44.59811,-119.30765,1453.8960000000002,BOARD CREEK,OR,2217,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
11,BOFO3,44.72194,-122.00306,1079.9064,BOULDER CREEK,OR,2218,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
12,IRFO3,44.32408,-119.76919,1743.1512,BRER RABBIT,OR,2219,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
13,TPEO3,43.83508,-121.08339,1443.228,TEPEE DRAW,OR,2228,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
14,CEFO3,44.96158,-118.93231,1178.0520000000001,CASE,OR,2230,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
15,CIFO3,43.32083,-122.10667,1473.4032,CINNAMON,OR,2234,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
16,CSFO3,44.35497,-120.13369,1414.2720000000002,COLD SPRINGS,OR,2236,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
17,CGFO3,44.31692,-121.60694,984.8088,COLGATE,OR,2237,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
18,CPFO3,44.15722,-118.47139,1676.4,CRANE PRAIRIE,OR,2238,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
19,CWFO3,43.84119,-118.95203,1576.4256,CROW FLAT,OR,2239,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
20,ENFO3,45.87639,-117.61639,1280.16,EDEN,OR,2242,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
21,EMFO3,43.48306,-122.23028,1150.0104000000001,EMIGRANT,OR,2243,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
22,FMFO3,44.29694,-119.03694,1813.2552,FALL MOUNTAIN,OR,2245,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
23,FEFO3,43.68053,-122.30203,1022.2992,FIELDS,OR,2246,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
24,GDFO3,43.41583,-122.57722,883.9200000000001,GRANDAD,OR,2253,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
25,HYFO3,44.44975,-121.12997,965.6064,HAYSTACK,OR,2257,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
26,KEEO3,44.66611,-118.92194,1560.576,KEENEY TWO,OR,2264,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
27,LBFO3,43.92522,-121.34314,1417.3200000000002,LAVA BUTTE,OR,2266,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
28,LGFO3,45.49658,-121.89646,869.8992000000001,LOG CREEK,OR,2268,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
