,stid,lat,lon,elev,NAME,STATE,id,DCP Info,Field Maint,Maint Cont
0,DNFI1,46.62319,-116.22069,518.1600000000001,DENT,ID,2025,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
1,FHFI1,47.13518,-115.8766,1301.496,FISH HOOK,ID,2033,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
2,LPFI1,45.37837,-115.1882,1772.1072000000001,LODGEPOLE,ID,2049,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Depot BLM
3,PLFI1,45.63747,-116.46894,413.6136,PITTSBURG LANDING,ID,2058,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
4,SADI1,48.93855,-116.73451,1560.576,SADDLE PASS,ID,2069,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
5,SFFI1,44.9429,-116.1882,1614.5256000000002,SKI HILL,ID,2072,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
6,SRFI1,45.09972,-116.73782,1333.8048000000001,SNAKE RIVER,ID,2075,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Depot BLM
7,MCLI1,44.90433,-115.73858,1577.3400000000001,TEA POT,ID,2076,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Depot BLM
8,WEFI1,44.84733,-116.42767,1159.4592,WEISER RIVER,ID,2081,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
9,LMRM8,44.68667,-112.54167,2071.116,ANTELOPE,MT,2082,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
10,BIFM8,48.62495,-115.58102,1277.112,BC BALDY,MT,2085,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
11,BEFM8,47.49526,-112.88453,1637.9952,BENCHMARK,MT,2086,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
12,BRRM8,44.93656,-113.25239,2021.1288000000002,BRENNER,MT,2093,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
13,CYFM8,48.87658,-114.50935,1981.2,HORNET,MT,2097,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
14,GAAM8,46.221,-112.22853,1994.9160000000002,GALENA,MT,2102,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
15,GINM8,46.32917,-111.58806,1331.976,GINGER,MT,2103,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
16,PRDM8,47.26833,-114.91694,1392.6312,PARDEE,MT,2116,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
17,RRDM8,44.68286,-111.82589,2035.1496000000002,RED ROCK,MT,2121,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
18,BRLW4,44.59722,-104.42806,1609.344,BEAR LODGE,WY,2438,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
19,SPKW4,44.30793,-106.98246,2469.1848,SCHOOL HOUSE,WY,2465,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
20,IPFI1,44.42051,-111.36741,1931.5176000000001,ISLAND PARK,ID,2854,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
21,HRWM8,46.73167,-112.01917,1158.24,HELENA,MT,2858,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
22,HNYM8,48.38333,-114.0575,951.8904,HUNGRY HORSE,MT,2859,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
23,BLMM8,46.82073,-114.10089,1039.9776000000002,BLUE MTN,MT,2862,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
24,PNTM8,47.04136,-113.98631,2407.0056,POINT 6,MT,2864,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
25,WSRM8,46.54308,-110.9058,1542.288,WHITE SULPHUR SPRING,MT,2867,Forest Technology System - FWS12S (F12S),Bureau of Land Management - Boise,Modified BLM
26,THMI1,44.39583,-112.10806,2019.3000000000002,3 MILE,ID,3338,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
27,BFYI1,48.72839,-116.28911,707.1360000000001,BONNERS FERRY,ID,3341,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
28,HOOI1,48.05331,-116.79335,691.8960000000001,HOODOO,ID,3363,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
29,LCKI1,47.11092,-116.22518,1566.672,LINES CREEK,ID,3365,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
30,NUCI1,47.50415,-115.93686,1219.2,NUCKOLS,ID,3372,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
31,PLKI1,48.57418,-116.95787,792.48,PRIEST LAKE,ID,3376,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
32,FINM8,47.04593,-114.11207,1353.6168,FINNEYS MEADOW QD,MT,3388,Forest Technology System - F6 (F6),United States Forest Service,Portable Return BLM
33,CONM8,47.53611,-113.71722,1122.8832,CONDON WORK CENTER,MT,3390,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
34,ENNM8,45.30215,-111.75415,1541.0688,ENNIS,MT,3392,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
35,EURM8,48.89781,-115.05836,802.2336,EUREKA,MT,3393,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
36,LBBM8,48.40361,-115.53917,630.936,LIBBY,MT,3399,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
37,NINM8,47.07133,-114.40139,1010.1072,NINE MILE,MT,3402,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
38,PLAM8,47.46622,-114.87961,756.2088,PLAINS,MT,3404,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
39,FCRM8,45.33,-112.91278,2262.2256,FRENCH CREEK,MT,3406,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
40,SEEM8,47.17597,-113.44439,1258.824,SEELEY LAKE,MT,3412,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
41,STGM8,47.30711,-115.10761,816.2544,ST. REGIS,MT,3416,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
42,THAM8,47.57591,-115.28439,739.4448,THOMPSON FALLS A/P,MT,3418,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
43,TROM8,48.48165,-115.90507,612.3432,TROY,MT,3421,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
44,WHHM8,45.8715,-112.10821,1338.0720000000001,WHITEHALL,MT,3423,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
45,WRSM8,45.78828,-112.93831,1766.0112000000001,WISE RIVER,MT,3424,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
46,YKAM8,48.91667,-115.65667,914.4000000000001,YAAK (UPPER FORD),MT,3425,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Modified BLM
47,CSBN8,48.96806,-104.00222,650.4432,CROSBY,ND,3795,Forest Technology System - F6 (F6),Fish and Wildlife Service,FTS AOM
48,JCSN8,48.61528,-100.72917,438.91200000000003,J. CLARK SALYER,ND,4088,Forest Technology System - F6 (F6),Fish and Wildlife Service,FTS AOM
