,stid,lat,lon,elev,NAME,STATE,id,DCP Info,Field Maint,Maint Cont
0,QBAA3,36.20472,-112.06222,2479.2432000000003,BRIGHT ANGEL,AZ,1658,Forest Technology System - F6 (F6),National Park Service,Depot BLM
1,CHEA3,34.59661,-112.04761,1568.8056000000001,CHERRY,AZ,1660,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
2,QCGA3,32.70389,-109.91389,2902.0008000000003,COLUMBINE,AZ,1661,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
3,QCKA3,34.20336,-112.34561,1881.5304,CROWN KING,AZ,1662,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
4,QDPA3,36.45308,-112.23819,2651.76,DRY PARK,AZ,1664,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
5,QOCA3,34.94686,-111.75444,1464.2592,OAK CREEK,AZ,1688,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
6,QPAA3,34.24614,-111.2935,1543.5072,PAYSON,AZ,1691,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
7,QPVA3,34.08858,-110.94225,1594.7136,PLEASANT VALLEY,AZ,1692,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
8,TTBA3,33.86861,-111.31333,735.7872,TONTO BASIN,AZ,1698,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
9,QSBA3,31.69169,-111.44811,1066.8,SASABE,AZ,1699,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
10,QVDA3,34.54917,-111.84417,945.1848,VERDE,AZ,1709,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
11,BATN5,32.17861,-104.44056,1348.74,BATDRAW,NM,2138,Forest Technology System - F6 (F6),National Park Service,Depot BLM
12,MPAN5,32.17983,-103.722,1077.1632,PADUCA,NM,2155,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Full BLM
13,SNDN5,32.58008,-106.52719,1870.5576,SAN ANDRES,NM,2158,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
14,COPN5,33.35017,-105.68606,2161.032,SMOKEY BEAR,NM,2162,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
15,ALRA3,33.84272,-109.11161,2501.4936000000002,ALPINE,AZ,2802,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
